STATE/UT,AREA (sq. km.),POPULATION (2001),POPULATION (2011),LITERACY RATE (%) - 2001,LITERACY RATE (%) - 2011,POPULATION (2002),POPULATION (2003),POPULATION (2004),POPULATION (2005),POPULATION (2006),POPULATION (2007),POPULATION (2008),POPULATION (2009),POPULATION (2010),POPULATION (2012),LITERACY RATE (%) - 2002,LITERACY RATE (%) - 2003,LITERACY RATE (%) - 2004,LITERACY RATE (%) - 2005,LITERACY RATE (%) - 2006,LITERACY RATE (%) - 2007,LITERACY RATE (%) - 2008,LITERACY RATE (%) - 2009,LITERACY RATE (%) - 2010,LITERACY RATE (%) - 2012,AVERAGE POPULATION (2001-2012),AVERAGE LITERACY RATE (2001-2012),POPULATION GROWTH RATE (2001-2012)
ANDHRA PRADESH,275045,75728400,84664012.0,60.47,67.02,76621961.0,77515522.0,78409084.0,79302645.0,80196206.0,81089767.0,81983328.0,82876890.0,83770451.0,85557573.0,61.12,61.78,62.43,63.09,63.74,64.4,65.05,65.71,66.36,67.68,80642987.0,64.07,13.0
ARUNACHAL PRADESH,83743,1098328,1383727.0,54.34,65.38,1126868.0,1155408.0,1183948.0,1212488.0,1241028.0,1269567.0,1298107.0,1326647.0,1355187.0,1412267.0,55.44,56.55,57.65,58.76,59.86,60.96,62.07,63.17,64.28,66.48,1255298.0,60.41,29.0
ASSAM,78438,26638600,31169272.0,63.25,72.19,27091667.0,27544734.0,27997802.0,28450869.0,28903936.0,29357003.0,29810070.0,30263138.0,30716205.0,31622339.0,64.14,65.04,65.93,66.83,67.72,68.61,69.51,70.4,71.3,73.08,29130470.0,68.17,19.0
BIHAR,94163,82879910,103804630.0,47.0,61.8,84972382.0,87064854.0,89157326.0,91249798.0,93342270.0,95434742.0,97527214.0,99619686.0,101712158.0,105897102.0,48.48,49.96,51.44,52.92,54.4,55.88,57.36,58.84,60.32,63.28,94388506.0,55.14,28.0
CHHATTISGARH,135192,20834530,25540196.0,64.66,70.28,21305097.0,21775663.0,22246230.0,22716796.0,23187363.0,23657930.0,24128496.0,24599063.0,25069629.0,26010763.0,65.22,65.78,66.35,66.91,67.47,68.03,68.59,69.16,69.72,70.84,23422646.0,67.75,25.0
GOA,3702,1348900,1457723.0,82.01,88.7,1359782.0,1370665.0,1381547.0,1392429.0,1403312.0,1414194.0,1425076.0,1435958.0,1446841.0,1468605.0,82.68,83.35,84.02,84.69,85.36,86.02,86.69,87.36,88.03,89.37,1408753.0,85.69,9.0
GUJARAT,196244,50597200,60383628.0,69.14,78.03,51575843.0,52554486.0,53533128.0,54511771.0,55490414.0,56469057.0,57447700.0,58426342.0,59404985.0,61362271.0,70.03,70.92,71.81,72.7,73.59,74.47,75.36,76.25,77.14,78.92,55979735.0,74.03,21.0
HARYANA,44212,21083900,25753081.0,67.91,75.55,21550818.0,22017736.0,22484654.0,22951572.0,23418490.0,23885409.0,24352327.0,24819245.0,25286163.0,26219999.0,68.67,69.44,70.2,70.97,71.73,72.49,73.26,74.02,74.79,76.31,23651950.0,72.11,24.0
HIMACHAL PRADESH,55673,6077453,6856509.0,76.48,82.8,6155359.0,6233264.0,6311170.0,6389075.0,6466981.0,6544887.0,6622792.0,6700698.0,6778603.0,6934415.0,77.11,77.74,78.38,79.01,79.64,80.27,80.9,81.54,82.17,83.43,6505934.0,79.96,14.0
JAMMU & KASHMIR,222236,10070300,12548926.0,55.52,67.16,10318163.0,10566025.0,10813888.0,11061750.0,11309613.0,11557476.0,11805338.0,12053201.0,12301063.0,12796789.0,56.68,57.85,59.01,60.18,61.34,62.5,63.67,64.83,66.0,68.32,11433544.0,61.92,27.0
